Судлагдахууны нэр,Ангийн нэр,Нэгжийн нэр,№,Ээлжит хичээл,Ээлжит хичээлийн зорилго
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L1,Бүхэл тооны жиших үйлдэл,"Амьдрал дахь асуудал дээр тулгуурлан бүхэл тооны эрэмбийг ойлгох, тоон шулуун дээрх бүхэл тооны геометр байрыг ойлгох, тоон шулуун ашиглан бүхэл тоог жишиж сурах"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L2,"Бүхэл тооны нэмэх, хасах үйлдэл","Тоон шулуун хэрэглэн (бусад сонирхолтой аргуудыг нэмэлтээр ашиглаж болно) бүхэл тоонуудыг нэмэх, хасах үйлдлийг ойлгож, үйлдэл хийж сурах, хэрэглэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L3,"Бодлого дасгал (Бүхэл тооны нэмэх, хасах үйлдэл)","Бүхэл тооны нэмэх, хасах үйлдэл оролцсон илэрхийллийн утгыг олох, асуудал шийдвэрлэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L4,"Бүхэл тооны үржих, хуваах үйлдэл","Тоон шулуун бусад сонирхолтой аргуудыг хэрэглэн бүхэл тооны үржүүлэх, хуваах үйлдлийг ойлгож, үйлдэл хийж сурах, үржих, хуваах үйлдлийн чанарыг ойлгох"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L5,"Бодлого дасгал (Бүхэл тооны үржих, хуваах үйлдэл)","Бүхэл тооны үржих, хуваах үйлдлийн чанарыг хэрэглэж бодлого бодох, асуудал шийдвэрлэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L6,"Бодлого дасгал (бүхэл тооны нэмэх, хасах,  үржих, хуваах үйлдлүүд)","Бүхэл тооны нэмэх, хасах, үржих, хуваах үйлдэл оролцсон илэрхийллийн утгыг олох, үйлдлийн чанар ашиглан хялбар аргаар илэрхийллийн утгыг олох, эерэг, сөрөг тоо оролцсон асуудал шийдвэрлэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L7,"Бүхэл тооны квадрат зэрэг, квадрат язгуур","Бүхэл тооны үржүүлэх үйлдэл дээр үндэслэн тоог квадрат зэрэгт дэвшүүлэх үйлдлийг ойлгож, -20-оос 20 -ын хоорондох бүхэл тооны квадрат зэргийг цээжлэх, тооноос квадрат язгуур гаргах үйлдлийг ойлгох, квадрат язгуур нь -20-оос 20-ын хүртэлх бүхэл тоо байх тоог цээжлэх, хэрэглэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L8,"бодлого дасгал (квадрат зэрэг, квадрат язгуур)","Тоог квадрат зэрэгт дэвшүүлэх, квадрат язгуур олох үйлдэл оролцсон илэрхийллийн утгыг олох, үйлдлийн чанар ашиглан хялбар аргаар тооцоолох, асуудал шийдвэрлэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L9,бодлого дасгал (бүхэл тооны үйлдлүүд),"Бүхэл тооны нэмэх, хасах, үржүүлэх, хуваах, квадрат зэрэг дэвшүүлэх, квадрат язгуур гаргах үйлдэл оролцсон илэрхийллийн утгыг үйлдлийн чанар ашиглан хялбар аргаар олох, асуудал шийдвэрлэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L10,"ҮНЭЛГЭЭ-Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L11,Тооны хуваагдах шинжүүд,"Өмнөх ангид судалсан тооны 2, 3, 4, 5, 10, 100 -д хуваагдах шинжүүдийг сэргээн бататгаад, шинээр тооны  6, 8, 9 -д хуваагдах шинжийг мэдэх, хэрэглэх "
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L12,Тооны хуваагдах шинжийг хэрэглэх,Тооны хуваагдах шинжийг хэрэглэн төрөл бүрийн асуудал шийдвэрлэх
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L13,Анхны тоо ба зохиомол тоо,"Өгсөн тооны бүх хуваагчдыг олох (хуваагдах шинж ашиглах, аалзны арга, лего тоглоомын арга зэрэг сонирхолтой арга ашиглах), улмаар анхны ба зохиомол тоог ялгаж таних "
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L14,Бодлого дасгал (Тооны хуваагдах шинж),"Тооны хуваагдах шинжийг хэрэглэн1-ээс 100 хүртэлх анхны тоонуудыг  сонирхолтой аргуудаар олох, асуудал шийдвэрлэх"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L15,Ерөнхий хуваагч ба ХИЕХ,"Өгсөн (хоёр болон түүнээс дээш ширхэг) тоонуудын  ерөнхий хуваагч, ХИЕХ-ыг таних,, ХИЕХ олох хялбар аргыг мэдэх, хэрэглэх (нэг ба хоёр оронтой тоонуудын хувьд тоочин бичих аргаар олох)"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L16,Харилцан анхны тоонууд (ХИЕХ ашиглан асуудал шийдвэрлэх),"Харилцан анхны тоонуудыг таних, ХИЕХ-ийг  хялбар аргаар олох, ХИЕХ ашиглан асуудал шийдвэрлэх, хэрэглээг мэдэх"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L17,Ерөнхий хуваагдагч ба ХБЕХ,"Өгсөн (хоёр болон түүнээс дээш ширхэг) тоонуудын ерөнхий хуваагдагч, ХБЕХ-ыг таних, ойлгох, ХБЕХ олох аргыг мэдэх, хэрэглэх (нэг ба хоёр оронтой тоонуудын хувьд)"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L18,Бодлого дасгал (ХБЕХ ашиглан асуудал шийдвэрлэх),"ХБЕХ-ийг хялбар аргаар алдаагүй олох, ХБЕХ ашиглан асуудал шийдвэрлэх сонирхолтой бодлогууд бодож, хэрэглээг мэдэх"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L19,Хэллэг,"Амьдрал дахь жишээгээр  дамжуулан Математик хэллэг үүсгэхэд хэрэглэгддэг ""дор хаяж"", ""аль ч"", ""хамгийн цөөндөө"", ""яг"", ""ядаж"", ""хамгийн багадаа"", ""хамгийн ихдээ"", ""хамгийн олондоо"", ""дурын"" гэх мэт үгсийн утгыг  ойлгох, амьдрал дахь болон онолын хэрэглээг таних, ашиглаж сурах"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L20,Олонлог,"Өмнөх ангиудад үзсэн олонлогийг Эйлер-Веннийн диаграммаар дүрслэх чадвар дээр тулгуурлан олонлогуудын нэгдэл, огтлолцлыг олох, олонлогтой холбоотой математик тэмдэг, тэмдэглэгээ, хэллэгүүд, тэр дундаа оршин байх, дурын гэсэн кванторуудыг шинээр мэдэж, ашиглах чадвартай болох"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L21,"Бодлого дасгал (Олонлог, хэллэг)","Тоон олонлогийн талаар ойлголттой болох, натурал, бүхэл тоон олонлогийг ялгаж таних, математик тэмдэглэгээг мэдэх, хэрэглэх, асуудал шийдвэрлэх сонирхолтой жишээ дасгал ажиллаж математик хэлд суралцах, асуудлыг математик загварт оруулж шийдвэрлэх чадвараа хөгжүүлэх"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L22,"ҮНЭЛГЭЭ-Тооны хуваагдах шинж, хэллэг, олонлог","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Аравтын бутархайг жиших, тоймлох",L23,Аравтын бутархай,"Тооны орон ангийн хүснэгт ашиглан тооны бичлэг дэх цифрийн утгыг ойлгох, тайлбарлах"
Математик,6-р анги,"Аравтын бутархайг жиших, тоймлох",L24,"Тоог 0.1, 0.01, 0.001-ээр үржүүлэх, хуваах үйлдэл","Тоог 10, 100, 1000-аар үржүүлж, хуваах үйлдлийг сэргээн бататгаж, тоог 0.1, 0.01, 0.001-ээр үржүүлэх, хуваах үйлдлийн үр дүнд тооны цифрийн орон хэрхэн шилжиж байгааг ажиглаж мэдэх, ойлгох, хэрэглэж асуудал шийдвэрлэх "
Математик,6-р анги,"Аравтын бутархайг жиших, тоймлох",L25,Аравтын бутархайг жиших ,"Аравтын бутархайг жиших дүрмийг сэргээн бататгаж, ойлгох, урт, хүнд, хугацааны  хэмжээг ижил нэгжид шилжүүлж асуудал шийдвэрлэхэд хэрэглэх"
Математик,6-р анги,"Аравтын бутархайг жиших, тоймлох",L26,"Бодлого дасгал (Аравтын бутархайг жиших, тоймлох)","Аравтын бутархайг жиших, тоймлох, 0.1, 0.01, 0.001 -ээр үржүүлэх, хуваах үйлдэл оролцсон асуудал шийдвэрлэх"
Математик,6-р анги,"Аравтын бутархайг жиших, тоймлох",L27,Бүхэл тоог тоймлох ,"Өмнөх ангид судалсан олон оронтой тоог 10, 100, 1000, 10000- аар тоймлох аргыг сэргээн санаж, амьдрал дахь асуудал шийдвэрлэх"
Математик,6-р анги,"Аравтын бутархайг жиших, тоймлох",L28,Аравтын бутархайг тоймлох,"Өмнөх ангид судалсан аравтын  бутархайг  (бүхлээр болон аравны, зууны, мянганы хэсгээр) тоймлох, амьдрал дахь асуудал шийдвэрлэхэд хэрэглэх"
Математик,6-р анги,"Аравтын бутархайг жиших, тоймлох",L29,Тоог тоймлох,"Өмнөх хичээлүүдээр судалсан олон оронтой тоо  болон аравтын бутархайг тоймлох талаар ойлголтоо сэргээн бататгаад,  төрөл бүрийн хялбар асуудал шийдвэрлэх"
Математик,6-р анги,"Аравтын бутархайг жиших, тоймлох",L30,"ҮНЭЛГЭЭ-Аравтын бутархайг жиших, тоймлох","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,Аравтын бутархайн 4 үйлдэл,L31,"Аравтын бутархайн нэмэх, хасах үйлдэл","Амьдралд өдөр тутам тохиолддог асуудлыг шийдвэрлэх явцдаа бутархай хэсгийн орон нь ижил болон ялгаатай аравтын бутархайнуудыг нэмэх, хасах чадварыг бататгаж, тооцооллыг алдаагүй, хурдан гүйцэтгэх чадвар эзэмших "
Математик,6-р анги,Аравтын бутархайн 4 үйлдэл,L32,"Аравтын бутархайн нэмэх, хасах үйлдэл оролцсон илэрхийлэл","Аравтын бутархайн нэмэх, хасах үйлдэл агуулсан илэрхийллийн утгыг олох явцдаа үйлдлийг алдаагүй зөв хийж сурах, бүлэглэх, үйлдлийн дарааллыг тогтоох зэргээр нэмэх, хасах үйлдлийн чанар, хялбар арга ашиглан тооцоолол хийх аргад суралцах"
Математик,6-р анги,Аравтын бутархайн 4 үйлдэл,L33,"Аравтын бутархайг бүхэл тоогоор үржүүлэх, хуваах үйлдэл","Амьдралд өдөр тутам тохиолддог тооцооллын асуудлуудыг шийдвэрлэх явцдаа аравтын бутархайг нэг ба хоёр оронтой бүхэл тоогоор үржүүлэх, мөн ийм тоонд хуваах арга (дүрэм)-ыг сэргээн бататгах, тоог  0.1, 0.01, 0.001-ээр үржүүлэх, хуваах үйлдлийн чанар  ашиглан бататгах, үнэмших, ойлгох"
Математик,6-р анги,Аравтын бутархайн 4 үйлдэл,L34,"Аравтын бутархайг аравтын бутархайгаар үржүүлэх, хуваах үйлдэл","Аравтын бутархайг бүхэл тоогоор үржүүлэх, хуваах үйлдэл дээр тулгуурлан аравтын бутархайг аравтын бутархайгаар үржүүлэх, хуваах дүрмийг сэргээн бататгах, хэрэглэх"
Математик,6-р анги,Аравтын бутархайн 4 үйлдэл,L35,"Бодлого дасгал (аравтын бутархайн үржих, хуваах үйлдэл)","Аравтын бутархайн үржүүлэх, хуваах үйлдэл оролцсон илэрхийллийн утгыг олох, үйлдлийн чанар ашиглан хялбар аргаар тооцоолох"
Математик,6-р анги,Аравтын бутархайн 4 үйлдэл,L36,Аравтын бутархайн үйлдэл ашиглан асуудал шийдвэрлэх,"Аравтын бутархайн нэмэх, хасах, үржүүлэх, хуваах үйлдэл ашиглан сонирхолтой асуудлуудыг сонгон авч, хялбар шийдвэрлэх аргад суралцах, үйлдлийг хурдан, алдаагүй гүйцэтгэх"
Математик,6-р анги,Аравтын бутархайн 4 үйлдэл,L37,Илэрхийллийн утгыг олох,"Өмнөх ангид судалсан тоон илэрхийллийн утгыг олоход баримтлах үйлдлийн дарааллыг сэргээж, аравтын бутархай оролцсон илэрхийллийн утгыг алдаагүй, зөв олох, гарсан үр дүнг урвуу үйлдлээр шалгах"
Математик,6-р анги,Аравтын бутархайн 4 үйлдэл,L38, Илэрхийллийн утгыг олох хялбар аргууд,"Амьдралд өдөр тутам тохиолддог, эсвэл танин мэдэхүйн сонирхолтой асуудлыг шийдвэрлэх явцдаа илэрхийллийг хялбарчлах олон янзын аргад суралцах, хамгийн тохиромжтой аргыг сонгож илэрхийллийг хялбарчлах"
Математик,6-р анги,Аравтын бутархайн 4 үйлдэл,L39,ҮНЭЛГЭЭ-Аравтын бутархайн 4 үйлдэл,"Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Энгийн бутархайг хураах, жиших",L40,Энгийн бутархайн хэлбэрүүд,"Засагдах бутархайг холимог бутархайд, холимог бутархайг засагдах бутархайд шилжүүлэх аргыг сэргээн бататгаж, өөр хэлбэрт бичигдсэн ч хоорондоо тэнцүү болохыг ойлгох, алдаагүй, хурдан, хялбар аргаар (цээжээр) харилцан шилжүүлэх чадвартай болох"
Математик,6-р анги,"Энгийн бутархайг хураах, жиших",L41,Энгийн бутархайг хураах үйлдэл,"Бутархайн үндсэн чанарыг сэргээн санаж бутархайг хураах, тэнцүү бутархайг таних  үйлдэл хэрэглэн асуудлыг шийдвэрлэх. "
Математик,6-р анги,"Энгийн бутархайг хураах, жиших",L42,"Энгийн бутархайг тоон шулуун дээр байршуулах аргаар жиших, эрэмбэлэх","Энгийн бутархайг тоон шулуун дээр зөв байршуулах, бутархайнуудыг тоон шулуун дээр байршуулах аргаар жиших, эрэмбэлэх, энгийн бутархайг эрэмбэлэхтэй холбоотой амьдрал практикийн асуудал шийдвэрлэх"
Математик,6-р анги,"Энгийн бутархайг хураах, жиших",L43,"Энгийн бутархайг ижил хуваарьтай болгох аргаар жиших, эрэмбэлэх","Энгийн бутархайнуудыг хуваариудын ХБЕХ-ийг олох замаар ижил хуваарьтай болгож жиших, эрэмбэлэх, энгийн бутархайг эрэмбэлэхтэй холбоотой асуудал шийдвэрлэх"
Математик,6-р анги,"Энгийн бутархайг хураах, жиших",L44,"Бутархайг жиших, эрэмбэлэх аргууд","Бутархайг жиших, эрэмбэлэхтэй холбоотой асуудал шийдэх явцдаа бутархайнуудыг хамгийн тохиромжтой аргаар, алдаагүй, хурдан эрэмбэлэх чадварт суралцах /Бутархайн үндсэн чанар ашиглан хүртвэр, эсвэл хуваарийг ижил болгох, зураг дүрслэл ашиглах гэх мэт аргуудыг ашиглаж болно/"
Математик,6-р анги,"Энгийн бутархайг хураах, жиших",L45,"ҮНЭЛГЭЭ-Энгийн бутархайг хураах, жиших","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,Энгийн бутархайн үйлдлүүд,L46,"Ижил биш хуваарьтай энгийн бутархайнуудыг нэмэх, хасах үйлдэл","Амьдрал дахь асуудлыг шийдэх явцдаа ижил хуваарьтай бутархайнуудыг нэмэх, хасах аргыг сэргээн бататгаж, ижил биш хуваарьтай бутархайнуудыг ижил хуваарьтай болгох замаар нэмж, хасаж сурах"
Математик,6-р анги,Энгийн бутархайн үйлдлүүд,L47,"Холимог бутархайнуудыг нэмэх, хасах үйлдэл","Холимог бутархайн нэмэх, хасах үйлдлийг ойлгох, холимог бутархай нэмэх, хасах үйлдэл  оролцсон илэрхийллийн утгыг олох, асуудал шийдвэрлэх"
Математик,6-р анги,Энгийн бутархайн үйлдлүүд,L48,"Бодлого дасгал (Энгийн бутархайн нэмэх, хасах үйлдэл)","Амьдрал дахь болон математик асуудлыг шийдэх явцдаа холимог бутархай, бүхэл тоо, энгийн бутархай, аравтын бутархайн нэмэх, хасах үйлдэл бүхий илэрхийллийн утгыг олох, хялбар аргаар утгыг олох чадварт суралцах"
Математик,6-р анги,Энгийн бутархайн үйлдлүүд,L49,Энгийн бутархайн үржүүлэх үйлдэл,"Дүрсийг хуваах замаар энгийн бутархайн үржүүлэх үйлдлийг ойлгох, хэрэглэх"
Математик,6-р анги,Энгийн бутархайн үйлдлүүд,L50,Энгийн бутархайн хуваах үйлдэл,"Энгийн бутархайг бүхэл тоонд хуваах дүрмийг дүрсийг хэсгүүдэд хуваах замаар ойлгох,, мөн бүхэл тоог энгийн бутархайд хуваах, хуваах үйлдлийг урвуу үйлдлээр шалгах чадвар эзэмших  дүрмийг ойлгох, хэрэглэх"
Математик,6-р анги,Энгийн бутархайн үйлдлүүд,L51,"Бодлого дасгал (энгийн бутархайн үржих, хуваах үйлдэл)","Энгийн бутархайн үржүүлэх, хуваах үйлдэл агуулсан илэрхийллийн утгыг олох, хялбар аргаар тооцоолох"
Математик,6-р анги,Энгийн бутархайн үйлдлүүд,L52,Хэсгийн бодлого,"Өгсөн тооны хэсэгт ногдох тоог олох, хэсэгт ногдох тоогоор уг тоог олох, нэг тоо нь нөгөө тооны ямар хэсэг болохыг олохтой холбоотой амьдрал дахь асуудал шийдвэрлэх явцдаа хэсгийн бодлого бодох чадварт суралцах"
Математик,6-р анги,Энгийн бутархайн үйлдлүүд,L53,Бодлого дасгал (энгийн бутархайн дөрвөн үйлдэл)," Илэрхийллийн утгыг үйлдлийн чанар ашиглан хялбар аргаар олох, энгийн бутархайн үйлдлийг алдаагүй, хурдан хийх чадварт суралцах"
Математик,6-р анги,Энгийн бутархайн үйлдлүүд,L54,Бодлого дасгал (энгийн бутархайн оролцсон илэрхийлэл),"Энгийн бутархайн дөрвөн үйлдэл оролцсон илэрхийллийн утгыг олох, энгийн бутархайн үйлдлүүд хэрэглэн шийдэх амьдралын болон математик асуудлыг шийдвэрлэх чадвартай болох"
Математик,6-р анги,Энгийн бутархайн үйлдлүүд,L55,"ҮНЭЛГЭЭ-Энгийн бутархайг хураах, жиших","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,Энгийн ба аравтын бутархайг харилцан шилжүүлэх,L56,Төгсгөлөг аравтын бутархайг энгийн бутархайгаар илэрхийлэх,"Төгсгөлөг аравтын бутархайг энгийн бутархайгаар илэрхийлэх, энгийн болон аравтын бутархай агуулсан илэрхийллийн утгыг олох, хялбар асуудал шийдвэрлэх"
Математик,6-р анги,Энгийн ба аравтын бутархайг харилцан шилжүүлэх,L57,Энгийн бутархайг аравтын бутархайд шилжүүлэх,"Энгийн бутархайг аравтын бутархайгаар илэрхийлэх, энгийн болон аравтын бутархай агуулсан илэрхийллийн утгыг олох, хялбар асуудал шийдвэрлэх"
Математик,6-р анги,Энгийн ба аравтын бутархайг харилцан шилжүүлэх,L58,Бодлого дасгал (Энгийн ба аравтын бутархайг харилцан шилжүүлэх),"Энгийн болон аравтын бутархай, бүхэл тоо агуулсан илэрхийллийн утгыг үйлдлийн чанар хэрэглэн хялбар аргаар олох, асуудал шийдвэрлэх"
Математик,6-р анги,Энгийн ба аравтын бутархайг харилцан шилжүүлэх,L59,ҮНЭЛГЭЭ-Энгийн ба аравтын бутархайг харилцан шилжүүлэх,"Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,Процент,L60,Процент,"Тоо, хэмжээний зууны нэг хэсэг нь 1 % гэдгийг сэргээн бататгаж, хялбар асуудал шийдэх явцдаа амьдрал дахь хэрэглээ, ач холбогдлыг ойлгож, дүрс, тоо, хэмжээний хэсгийг энгийн болон аравтын бутархай, процентоор илэрхийлэх"
Математик,6-р анги,Процент,L61,100 - аас их процент,"100-аас их процентыг ойлгох, хэрэглэх, энгийн ба аравтын бутархайгаар илэрхийлэх чадвартай болох"
Математик,6-р анги,Процент,L62,Процентыг тооцоолох,"Тоо, хэмжээний  өгсөн процентод ногдох тоог олох,  бага тоог их тооны хэсэг,  процентоор илэрхийлэх, хялбар асуудал шийдвэрлэх "
